userName;score;content;;;
Kanafi Ahyarirohman;1;Masyaallah kapan di proses proses nya ini kak...2 hari gak di proses respon cepatnya kurang sama sekali...jgn dibikin ribet ke driver kak...saya udah ajukan lewat Gmail dan dukungan aplikasi Indriver tidak ada tanggapan.....hallooo;;;
Rifat Harmeidy;3;percuma prioritas udah berstatus sangat tinggi, tapi tetap sulit buat dapat orderan, dan fitur auto bid yang ada juga sering bermasalah, kadang mau dan kadang juga enggak, benar benar gak efektif disaat lagi nyari orderan;;;
Salmon Sinaga;5;Proses daftar nya cepat..ga ribet...mantul...tp setelah on line..driver kurir..kalau ada yg masuk..kita trima..tawaran..ongkos....tp muncul..order sudah tdk aktip..padahal. sy sdh..siap.dan trima.penawaran ongkos dr ..pengirim..tp muncul..orderan.sdh tdk aktip..jd sy tdk bisa trima orderan barang..mohon..perbaikan nya.. Dan sy juga daftar..sebagau druver penumpang..dan semua syarat sdh beres..di kirim..tp yg muncul di aplikasi..hanya..Kurir....kenapa tdk ikut driver..motor nya???..;;;
Arip Rusmana;3;Update sekarang malah autobid gak responsif, alhasil jarak orderan yg ratusan bahkan puluhan meter selalu cepat menghilang di daftar lelangan,;;;
Rizky Mauladi;1;Tong dong it kalau mau update aplikasi bukan tampilan doang, rubah sistem penumpang membatalkan tidak bisa memberi bintang biar tidak seenaknya yang orderan fiktif;;;
ilham marwansyah;3;Saya sdh lumayan lama bergabung mnjadi mitra indriver, sudah membeli atribut resmi di tahun 2023 tapi ketika pengajuan prioritas akun saya tdk di respon smpai skarang prioritas sudah tidak berlaku, adapun sistem yang selalu berubah ubah, kadang sehari dua hari lancar orderan masuk tetapi hari berikutnya orderan susah di dapat padahal jarak antara pengemudi dengan penumpang sangat dekat, tolong perbaiki sistemnya jgn banyak di utak atik kasian yang mencari nafkah hanya dari hasil ngojek;;;
Iwan Hernawan;2;Kecewa dgn nada notifikasi orderan masuk, suaranya kecil dan singkat cuma bunyi klik aja, hal ini menyebabkan sering terhambat menjalankan orderan krn kadang tdk ketahuan klo ada orderan masuk, dengan keluhan ini saya harap semoga pihak inDrive mau merubah system notifikasi orderan masuk yg jelas dan agak panjang nadanya. Terimakasih;;;
henricus ari;5;sekedar masukan tolong untuk sistemnya di fixkan sudah banyak keluhan mengenai sistemnya,untuk minggu yang berjalan ini sistem indrive banyak masalahnya.;;;
Suhana Riyaya;1;Dukungan layanan customer service sangat buruk, sistem yg dirubah rubah terus, aplikasi mentah... minta update terus sedangkan aplikasi semakin buruk bukan semakin baik.....;;;
Hendra Suhendra;5;Aplikasi yang sangat membantu, tapi tolong dong tombol auto orderan nya untuk pengemudi jangan suka berubah rubah terus, sudah aktifkan auto malah nonaktif. Tolong yah diperhatikan lagi auto nya, terimakasih.;;;
Wandy Wahyu;5;Banya d Oprek sama aplikator masa yg dekat ga dapat terus saya Udah prioritas sedang kan teman saya belum kalah sama yg belum prioritas;;;
Ikhsan Zubaidi;3;jarak 5.0 km argo 11.000 , saya sarankan untuk driver jangan aktifkan automatis penerimaan, dan banyak akun pengemudi beralih ke akun penumpang lalu order tapi menolak semua driver yg masuk ke akun tersebut ( tembakan ), belum lagi banyak sekali driver nakal memakai mod / aplikasi tambahan supaya mudah dipilih cutomer, ( tuyul );;;
Mupasa Nurpuadi;5;"Alhamdulillah jadi driver indrive kebantu buat sehari"" Kalo bisa skrng kn udh update payment dengan ovo, Kalo boleh usul dari saya mewakili kawan"" yg jadi driver sistem lelang di ganti dengan auto bit tedekat jadi gada pilihan sistem lelang,seperti aplikasi driver lain Susker terus indrive makin jaya";;;
Wien Subarkah (WIEN SUBARKAH);2;Aplikasi yg lambat mengerti ya... Sudah di klik Mulai perjalanan utk jemput penumpang... Eh malah ..jadi Sudah Selesai... Ngaconya nih apk...!!?;;;
Zaenal sofyan;1;"Saya coba mangkal d titik a yg masuk orderan sebelah kanan dan kiri saya, tp saya g masuk bahkan penawaran saya pun g ada, lalu saya beralih k titik b, yg order d dekat saya, tp yg dapat yg jauh, bahkan penawaran otomatis saya juga g ada yg masuk, apa gunanya penawaran otomatis, lalu sy liat ulasan"" Yg sebelumnya ternyata ada pemakaian aplikasi pihak k 3, seharusnya manajemen punya kebijakan tentang aplikasi k 3 dan mensosialisasikan nya, jgn hanya yg terdekat atw system klwrga, semakin ancur";;;
Turahan Ludiro Santoso C;1;Saya berhenti jadi driver indrive karena gak pernah dapat orderan. Orderan habis oleh para driver indrive yang memakai aplikasi tambahan diluar aplikasi resmi indrive. Sangat disayangkan aplikator membiarkan kecurangan yang ada. Goodbye forever;;;
saor silalahi;1;Aplikasi ini sangat mengecewakan... Karna aplikasi mod yg di cetuskan oleh para IT indriver ini jelas menguntungkan buat diri sendiri ... Jdi yg memakai aplikasi ini dari playstore jgn harap mendapatkan penumpang dengan harga yang bagus...karna dengan adanya aplikasi mod yg di buat dengan harga VIP dengan berbagai macam harga maka mereka yang akan mendapat penumpang yang layak atau di utamakan... Makanya sampai kapanpun kasus ini akan terus berlanjut ... Bahkan system akan terus error...;;;
Melati Sianipar;2;Aplikasi sebenarnya bagus dan membantu karna lebih murah dari apk merk lain yang serupa, hanya saja saya sangat-sangat kecewa team inDrive bisa meloloskan kurir penipu!!! Barang pengantaran saya belum diterima tapi pengemudi sudah menyelesaikannya, sudah dilaporkan tapi tidak ada jawaban yang menyenangkan dari team support.indriver, kecewa sekali karna baru kali ini saya ditipu;;;
Hairin Br Sihotang;1;"Baru kli ini saya pakai apk kayak gini untuk mengantarkan ""paket makanan bolu meranti"" Tarif perjalanan udh di lebihkan, tp paket saya tidak sampai sesuai alamat. Paket saya malah di larikan, yg mau pakai jasa kurir di apk ini lebih baik pakai apk yg lain aja. Apk ini tidak rekomendasi, nanti paket kelian di larikan";;;
adi maryono;5;Masukan 1. Hilangkan waktu penjemputan, driver bukan pembalap yg masuk pit stop, orderan masuk kita perlu pemanasan mobil, belum lagi klo jalan macet dan harus puter arah 2. Beritahu penumpang lewat notifikasi harap sabar jangan suka suruh buru buru driver cepat sampai , jalan umum ga selowong lapangan bola 3.Beri notif ke penumpang biaya parkir di tanggung penumpang 4.Tolong kasih solusi orderan masuk otomatis tapi masih ke tolak;;;
Boni Marno waruwu;2;"Tolong di perbaikinlah udah masuk orderan tapi selalu di kensel klo tidak salah titik Saya tidak tau google map yg salah apa aplikasi indrivernya Tolong di perbaikin lah Jangan 3 di antar 5 dikensel Entah apa² notif yg sering masuk "" pengguna dari negara lain""";;;
hery suhery;4;Saya ud jadi mitra indriver sejak 2020, kemarin ada notif verifikasi kendaran dan wajah dan saya ud verifikasi kendaraan dan wajah , tapi kenapa malah di tolak dan di haruskan mendaftar ulang, ini gimana admin tolong dibantu;;;
Jack Gaming;5;Kalo menurut ku versi yng sekarang lebi bagus, yang akun2 masi si bawa bisa bersaing sama yang akun2 veteran maupun yang prio. Karna kalo cuma akun yang besar dan prio yang dapat orderan trus yang akun masi baru nda akan berkembang. kasian taman2 kita yang lain yang mau menacari sebutur beras tapi susa banget. Karena hanya akun2 yang besar sama yang prio yang masuk orderan, yang akun2 baru cuma dapat yang sisa2 orderan, itu pun kalo masi ada dari yang prio atau yang vereran. Trimakasi😁;;;
Viky Aditya pratama;1;Bad cs nya tidak membantu sama sekali, sering sekali chat cs nya diberhentikan gak ada solusi, bad lah pokoknya;;;
Cliff Hormati;5;"Setelah Update terbaru Autobit nya jadi agak kurang responsif Gak kek biasanya Dan jarak order yg mncul jauh"" semua Padahal ada yg dekat jaraknya kisaran ratusan meter tapi gak masuk notif Alhasil driver lain yg dapat Padahal driver yg dapat, lebih jauh jaraknya dari saya yg udah mangkal lama disitu Mohon ditingkatkan lagi akurasi posisi antara order dan driver nya Terimakasih 🙏";;;
Munawar Wawah;5;Min tolong apk Indri ada fitur tujuan searah jika driver ingin pulang ke arah tujuan rumah kota nya masing ² dan orderan prioritas jgn lelang lg terimakasih . Satu lg min chat di aplikasi suka pending gak langsung terkirim harus di perbaiki sistemnya;;;
Neymar San;1;Kalau saran saya jangan utak Atik terus sistem nya makin ngacor sekarang susah dapet orderan juga dulu gampang dapet orderan tuh sekarang susah nya minta ampun saya diem dari jam 7pagi sampe jam 9 cuman dapet 1 orderan dulu bisa sampe 5 orderan;;;
Ageng Prayoga;1;Sistem sekarang makin hancur untuk para driver, Hancurlaa pokoknya,banyak driver ngeluhhh dengan sistem yang sekarang dan sistem indriver ini tidak seperti grab, gojek,Maxim yang otomatis tanpa harus milih milih driver Driver semua beralih ke gojek dikarenakan sistem kalian makin susah, Satu lagi untuk ganti profil pengemudi aja di persulit eeeee langkeap kali indriver ini;;;
Siswandi;1;Kebanyakan update, merugikan driver tidak sering ikut lelangan anyep berjam jam pindah spot pun tetap sama, masak download aplikasi Ori kalah sama yg pakai alat bantu, sia sia kita pemakai Ori, auto tiap hari error terus menerus, haduuhhh;;;
Kriswan Pianusa;1;Aplikasi ter buruk & jelek...lebih memihak ke penumpang dari pada driver....mending tutup aja taiiikkk..... Semoga ada aplikator baru yang lebik baik....;;;
